POSICIÓN,SUELDO,CLASIFICACIÓN,PRESTACIONES DE LEY,PRESTACIONES SUPERIORES,EMPRESA,GIRO,TAMAÑO DE LA EMPRESA,CIUDAD O ZONA,ESTADO,REGIÓN,FUENTE,PT SEGURO DE VIDA,PT MEMEBRESIA DESC,PT TRANSPORTE,PT SGMM,PT FLEXIBILIDAD,PT VALES DESPENSA/GASOLINA,PLAN DE CRECIMIENTO,PT ECONOMICAS,PT GRATUITAS INST,OBSERVACIONES
TECNICO,"$56,000.00",JUNIOR,SI,SI,BWS MÉXICO,INDUSTRIAL,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,SI,NO,NO,NO,NO,NO,NO,TRANSPORTACIÓN AÉREA Y EN SITIO. VIVIENDA Y VIÁTICOS PAGADOS
AUXILIAR DE COBRANZA,"$8,000.00",JUNIOR,SI,NO,GRUPO SPYCSSA,SERVICIOS INDUSTRIALES,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,SI,NO,
ASISTENTE PERSONAL,"$10,000.00",JUNIOR,SI,SI,PARTICULAR,PERSONAL,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ADMINISTRADOR CONTABLE,"$25,000.00",JUNIOR,SI,NO,GPOEIN,INMOBOLIARIA,MEDIANA,CDMX,CDMX,BAJIO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR CORPORATIVO DE TESORERÍA,"$130,000.00",DIRECTIVO,SI,SI,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CEO FINTECH,"$145,000.00",DIRECTIVO,SI,SI,FINTECH,SERVICIOS FINANCIEROS,MICRO,CDMX,CDMX,BAJIO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CEO,"$175,000.00",DIRECTIVO,SI,SI,I CARD,SERVICIOS FINANCIEROS,MICRO,CDMX,CDMX,BAJIO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE EXPERIENCIAS,"$40,000.00",GERENCIAL ,SI,SI,FINTECH,SERVICIOS FINANCIEROS,MICRO,CDMX,CDMX,BAJIO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COMUCADORA SOCIAL,"$25,000.00",JUNIOR,SI,SI,FINTECH,SERVICIOS FINANCIEROS,MICRO,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DILIGENCIERO,"$10,000.00",JUNIOR,SI,SI,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$46,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR ADMINISTRATIVO,"$10,000.00",JUNIOR,SI,NO,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUDITOR INTERNO,"$15,000.00",JUNIOR,SI,NO,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR JURIDICO,"$32,000.00",DIRECTIVO,SI,SI,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CHOFER PARTICULAR,"$18,000.00",JUNIOR,SI,NO,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR,"$12,000.00",JUNIOR,SI,NO,GPOEIN,SERVICIOS FINANCIEROS,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESCOLTA PERSONAL,"$30,000.00",JUNIOR,SI,NO,PARTICULAR,SEGURIDAD,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CHOFER DE RESIDUOS PELIGROSOS,"$55,000.00",JUNIOR,SI,NO,CONFIDENCIAL,SEGURIDAD,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
RELACIONES PUBLICAS Y MARKETING,"$26,000.00",JUNIOR,SI,NO,CONFIDENCIAL,SERVICIOS FINANCIEROS,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASISTENTE DE LICITACIONES,"$20,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESPECIALISTA SSPA,"$25,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESPECIALISTA AMBIENTAL,"$40,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASISTENTE ADMINISTRATIVA,"$11,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$11,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESPECIALISTA SSPA VHSA,"$25,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CHOFER PARTICULAR,"$20,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$30,000.00",GERENCIAL ,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
RECEPCIONISTA,"$11,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTADOR SR,"$18,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
RECEPCIONISTA,"$8,500.00",JUNIOR,SI,NO,ALE ROVIROSA SALÓN,SALUD Y BELLEZA,PEQUEÑA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASISTENTE DE LICITACIONES,"$15,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASISTENTE CONTABLE ADMINISTRATIVO,"$12,000.00",JUNIOR,SI,NO,ARRENDO,SERVICIOS INDUSTRIALES,GRANDE,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE LOGISTÍCA DE MAQUINARIA,"$15,000.00",JUNIOR,SI,NO,SEINSUR,SERVICIOS INDUSTRIALES,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CHOFER PARTICULAR,"$12,000.00",JUNIOR,SI,NO,SEINSUR,SERVICIOS INDUSTRIALES,MEDIANA,SIN DEFINIR,SIN DEFINIR,SIN DEFINIR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ASISTENTE DE LICITACIONES,"$13,000.00",JUNIOR,SI,NO,COLDWELL BANKER,INMOBILIARIA,PEQUEÑA,VILLAHERMOSA,TABASCO,SURESTE,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$30,000.00",SENIOR,SI,NO,EMPRESA CONFIDENCIAL,CONSULTORÍA,PEQUEÑA,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE CIBERSEGURIDAD IT,"$33,000.00",SENIOR,SI,NO,CGS CONSULTORES,CONSULTORÍA,PEQUEÑA,CDMX,CDMX,BAJIO,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE CIBERSEGURIDAD,"$34,000.00",SENIOR,SI,NO,"ATENTO SERVICIOS, S. A. DE C.V.",CONSULTORÍA,PEQUEÑA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
INGENIERO DE CIBERSEGURIDAD,"$48,000.00",SENIOR,SI,NO,BBVA,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE CIBERSEGURIDAD Y SEGURIDAD DE NUBE,"$31,000.00",SENIOR,SI,NO,XXI BANORTE,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE SEGURIDAD DE LA INFORMACIÓN,"$40,000.00",GERENCIAL ,SI,NO,COMPAÑIA MEXICANA DE TRASLADO DE VALORES S.A. DE C.V,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
NOMINAS,"$11,000.00",JUNIOR,SI,NO,BROXEL,SERVICIOS FINANCIEROS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
